c1,c2,c3,c4
350105101217,东街村,5,350105101000
350105102000,琅岐镇,4,350105000000
350105102001,闽琅,5,350105102000
350105102201,争丰村,5,350105102000
350105102202,劳丰村,5,350105102000
350105102203,劳光村,5,350105102000
350105102204,乐村,5,350105102000
350105102205,吴庄村,5,350105102000
350105102206,海屿村,5,350105102000
350105102207,云龙村,5,350105102000
350105102208,劳团村,5,350105102000
350105102209,东红村,5,350105102000
350105102210,建光村,5,350105102000
350105102211,荣光村,5,350105102000
350105102212,龙台村,5,350105102000
350105102213,凤窝村,5,350105102000
350105102214,董安村,5,350105102000
350105102215,南兜村,5,350105102000
350105102216,后水村,5,350105102000
350105102217,院前村,5,350105102000
350105102218,群星村,5,350105102000
350105102219,星光村,5,350105102000
350105102220,红星村,5,350105102000
350105102221,红光村,5,350105102000
350105102222,农旗村,5,350105102000
350105102223,光明村,5,350105102000
350105102224,星辉村,5,350105102000
350105102225,勤耕村,5,350105102000
350105102226,光辉村,5,350105102000
350105102227,闽江村,5,350105102000
350111000000,晋安区,3,350100000000
350111001000,茶园街道,4,350111000000
350111001001,站前社区委员会,5,350111001000
350111001003,站东社区委员会,5,350111001000
350111001009,环南社区委员会,5,350111001000
350111001013,环北社区委员会,5,350111001000
350111001016,洋下西社区委员会,5,350111001000
350111001017,洋下东社区委员会,5,350111001000
350111001018,洋四社区委员会,5,350111001000
350111001022,东浦社区委员会,5,350111001000
350111001024,红星社区委员会,5,350111001000
350111001025,凤山社区委员会,5,350111001000
350111001026,电建社区委员会,5,350111001000
350111001027,金鸡社区,5,350111001000
350111002000,王庄街道,4,350111000000
350111002005,华美社区委员会,5,350111002000
350111002006,乐东社区委员会,5,350111002000
350111002010,紫阳社区委员会,5,350111002000
350111002011,砌池社区委员会,5,350111002000
350111002012,紫新社区委员会,5,350111002000
350111002015,五里亭社区委员会,5,350111002000
350111002017,福马社区委员会,5,350111002000
350111002020,大名城社区,5,350111002000
350111002021,鼎屿社区,5,350111002000
350111003000,象园街道,4,350111000000
350111003002,乐西社区委员会,5,350111003000
350111003008,菊园社区委员会,5,350111003000
350111003012,南湖社区委员会,5,350111003000
350111003015,连辉社区委员会,5,350111003000
350111003018,乐园社区委员会,5,350111003000
350111003019,象园社区委员会,5,350111003000
350111003020,双坂社区委员会,5,350111003000
350111100000,鼓山镇,4,350111000000
350111100001,茶会社区委员会,5,350111100000
350111100006,日出东方社区委员会,5,350111100000
350111100007,融侨东区社区委员会,5,350111100000
350111100008,福茶社区委员会,5,350111100000
350111100010,三木社区委员会,5,350111100000
350111100011,都市社区,5,350111100000
350111100012,浦东社区,5,350111100000
350111100013,连翔社区,5,350111100000
350111100014,东城社区,5,350111100000
350111100015,大景城社区,5,350111100000
350111100016,连洋社区,5,350111100000
350111100017,前横社区,5,350111100000
350111100018,东山新苑社区委员会,5,350111100000
350111100019,后浦社区委员会,5,350111100000
350111100020,连凤社区委员会,5,350111100000
350111100021,横屿佳苑社区,5,350111100000
350111100022,石鼓社区,5,350111100000
350111100201,鼓一村,5,350111100000
350111100202,鼓二村,5,350111100000
350111100203,鼓三村,5,350111100000
350111100204,鼓四村,5,350111100000
350111100205,前屿村,5,350111100000
350111100206,凤坂村,5,350111100000
350111100207,连潘村,5,350111100000
350111100208,后浦村,5,350111100000
350111100209,茶会村,5,350111100000
350111100210,上洋村,5,350111100000
350111100211,埠兴村,5,350111100000
350111100212,樟林村,5,350111100000
350111100213,红光村,5,350111100000
350111100214,洋里村,5,350111100000
350111100215,远东村,5,350111100000
350111100216,远中村,5,350111100000
350111100217,远西村,5,350111100000
350111100218,六一村,5,350111100000
350111100219,横屿村,5,350111100000
350111100220,湖塘村,5,350111100000
350111100221,东山村,5,350111100000
350111100222,园中村,5,350111100000
350111100223,潭桥村,5,350111100000
350111100500,蕉坑农场生活区,5,350111100000
350111100501,鳝溪农场生活区,5,350111100000
350111101000,新店镇,4,350111000000
350111101001,金城社区委员会,5,350111101000
350111101002,新店社区委员会,5,350111101000
350111101003,古城社区委员会,5,350111101000
350111101004,琴亭社区,5,350111101000
350111101005,新厦社区,5,350111101000
350111101006,秀峰社区,5,350111101000
350111101007,主题公园社区,5,350111101000
350111101008,新盛社区,5,350111101000
350111101009,锦绣社区,5,350111101000
350111101010,雅居社区,5,350111101000
350111101011,新秀社区委员会,5,350111101000
350111101012,西庄社区,5,350111101000
350111101013,万科社区,5,350111101000
350111101014,新园社区,5,350111101000
350111101015,象峰社区,5,350111101000
350111101016,临湖社区,5,350111101000
350111101201,西园村,5,350111101000
350111101202,后山村,5,350111101000
350111101203,桂山村,5,350111101000
350111101204,涧田村,5,350111101000
350111101205,琴亭村,5,350111101000
350111101206,磐石村,5,350111101000
350111101207,郭前村,5,350111101000
350111101208,秀山村,5,350111101000
350111101209,井店村,5,350111101000
350111101210,溪里村,5,350111101000
350111101211,象峰村,5,350111101000
350111101212,东园村,5,350111101000
350111101213,杨廷村,5,350111101000
350111101214,鹅峰村,5,350111101000
350111101215,战峰村,5,350111101000
350111101216,汤斜村,5,350111101000
350111101217,坂中村,5,350111101000
350111101218,斗顶村,5,350111101000
350111101219,西垅村,5,350111101000
350111101220,厦坊村,5,350111101000
350111101221,新店村,5,350111101000
350111101222,赤桥村,5,350111101000
350111101223,健康村,5,350111101000
350111101224,赤星村,5,350111101000
350111101225,益凤村,5,350111101000
350111101226,凤池村,5,350111101000
350111101227,义井村,5,350111101000
350111101228,浮村,5,350111101000
350111101500,泉头农场生活区,5,350111101000
350111102000,岳峰镇,4,350111000000
350111102001,登云社区委员会,5,350111102000
350111102002,琯尾社区委员会,5,350111102000
350111102005,桂香社区委员会,5,350111102000
350111102006,康山社区委员会,5,350111102000
350111102008,桃花山社区委员会,5,350111102000
350111102009,新华社区委员会,5,350111102000
350111102011,浦下社区委员会,5,350111102000
350111102013,九龙城社区委员会,5,350111102000
350111102014,二化社区委员会,5,350111102000
350111102015,三华社区委员会,5,350111102000
350111102021,桂溪社区,5,350111102000
350111102022,香开社区,5,350111102000
350111102023,竹林社区,5,350111102000
350111102024,凤林社区,5,350111102000
350111102025,坊兜社区,5,350111102000
350111102026,鹤林新城社区,5,350111102000
350111102201,岳峰村,5,350111102000
350111102202,鹤林村,5,350111102000
350111102203,竹屿村,5,350111102000
350111102204,东门村,5,350111102000
350111103000,宦溪镇,4,350111000000
350111103201,宦溪村,5,350111103000
350111103202,黄田村,5,350111103000
350111103203,黄土岗村,5,350111103000
350111103204,湖中村,5,350111103000
350111103205,牛项村,5,350111103000
350111103206,湖山村,5,350111103000
350111103207,垄头村,5,350111103000
350111103208,山溪村,5,350111103000
350111103209,峨嵋村,5,350111103000
350111103210,亥由村,5,350111103000
350111103211,板桥村,5,350111103000
350111103212,降虎村,5,350111103000
350111103213,弥高村,5,350111103000
350111103214,创新村,5,350111103000
350111103215,中心村,5,350111103000
350111103216,民义村,5,350111103000
350111103217,建立村,5,350111103000
350111103218,增楼村,5,350111103000
350111103219,胜利村,5,350111103000
350111103220,洲洋村,5,350111103000
350111103221,鹅鼻村,5,350111103000
350111103222,宜夏村,5,350111103000
350111103223,过仑村,5,350111103000
350111103224,南洋村,5,350111103000
350111103225,恩顶村,5,350111103000
350111201000,寿山乡,4,350111000000
350111201201,红寮村,5,350111201000
350111201202,上寮村,5,350111201000
350111201203,长基村,5,350111201000
350111201204,优山村,5,350111201000
350111201205,大坂村,5,350111201000
350111201206,上仑村,5,350111201000
350111201207,九峰村,5,350111201000
350111201208,芹石村,5,350111201000
350111201209,寿山村,5,350111201000
350111201210,芙蓉村,5,350111201000
350111201211,石牌村,5,350111201000
350111201212,前洋村,5,350111201000
350111201213,溪下村,5,350111201000
350111201214,岭头村,5,350111201000
350111201215,叶洋村,5,350111201000
350111201216,菜岭村,5,350111201000
350111201217,贵洋村,5,350111201000
350111201218,沙溪村,5,350111201000
350111201219,吾洋村,5,350111201000
350111201220,江南竹村,5,350111201000
350111201221,红庙村,5,350111201000
350111201222,山头顶村,5,350111201000
350111202000,日溪乡,4,350111000000
350111202201,日溪村,5,350111202000
350111202202,梓山村,5,350111202000
350111202203,山秀园村,5,350111202000
350111202204,东坪村,5,350111202000
350111202205,南峰村,5,350111202000
350111202206,党洋村,5,350111202000
350111202207,汶洋村,5,350111202000
350111202208,万洋村,5,350111202000
350111202209,点洋村,5,350111202000
350111202210,汶石村,5,350111202000
350111202211,井后村,5,350111202000
350111202212,铁坑村,5,350111202000
350112000000,长乐区,3,350100000000
350112001000,吴航街道,4,350112000000
350112001001,东关社区,5,350112001000
350112001002,十洋社区,5,350112001000
350112001003,洋锦社区,5,350112001000
350112001004,西关社区,5,350112001000
350112001005,胜德社区,5,350112001000
350112001006,三峰社区,5,350112001000
350112001007,航兴社区,5,350112001000
350112001008,航华社区,5,350112001000
350112001009,西滨社区,5,350112001000
350112001010,景美社区,5,350112001000
350112001201,东关村,5,350112001000
350112001202,十洋村,5,350112001000
350112001203,西关村,5,350112001000
350112002000,航城街道,4,350112000000
350112002001,航辉社区,5,350112002000
350112002002,锦辉社区,5,350112002000
350112002003,仁辉社区,5,350112002000
350112002004,丹辉社区,5,350112002000
350112002201,泮野村,5,350112002000
350112002202,下朱村,5,350112002000
350112002203,霞州村,5,350112002000
350112002204,祥州村,5,350112002000
350112002205,筹岐村,5,350112002000
350112002206,东安村,5,350112002000
350112002207,五竹村,5,350112002000
350112002208,洋屿村,5,350112002000
350112002209,后安村,5,350112002000
350112002210,石龙村,5,350112002000
350112002211,石燕村,5,350112002000
350112002212,里仁村,5,350112002000
350112002213,联村,5,350112002000
350112002214,龙津村,5,350112002000
350112002215,龙门村,5,350112002000
350112002216,琴江村,5,350112002000
350112002217,石屏村,5,350112002000
350112003000,营前街道,4,350112000000
350112003001,营前,5,350112003000
350112003002,岐头,5,350112003000
350112003003,海星,5,350112003000
350112003004,营新社区,5,350112003000
350112003202,湖里村,5,350112003000
350112003203,长安村,5,350112003000
350112003204,长限村,5,350112003000
350112003205,马头村,5,350112003000
350112003206,洞头村,5,350112003000
350112003208,黄石村,5,350112003000
350112003209,东屿村,5,350112003000
350112003210,下洋村,5,350112003000
350112003212,后岐村,5,350112003000
350112004000,漳港街道,4,350112000000
350112004001,漳港,5,350112004000
350112004002,漳光,5,350112004000
350112004003,关湖边,5,350112004000
350112004201,渡桥村,5,350112004000
350112004202,山边村,5,350112004000
350112004203,王朱村,5,350112004000
350112004204,演屿村,5,350112004000
350112004205,屏洋村,5,350112004000
350112004206,阳边村,5,350112004000
350112004207,龙峰村,5,350112004000
350112004209,路顶村,5,350112004000
350112004210,上墩顶村,5,350112004000
350112004211,仙岐村,5,350112004000
350112004212,门楼村,5,350112004000
350112004213,百户村,5,350112004000
350112004214,新厝村,5,350112004000
350112004215,新宅村,5,350112004000
350112004216,万沙村,5,350112004000
350112004217,沙尾村,5,350112004000
350112102000,首占镇,4,350112000000
350112102001,洲元社区,5,350112102000
350112102201,上洋村,5,350112102000
350112102202,首占村,5,350112102000
350112102203,朋上村,5,350112102000
350112102204,丰山村,5,350112102000
350112102205,岱边村,5,350112102000
350112102206,珠湖村,5,350112102000
350112102207,佑林村,5,350112102000
350112102208,礼元村,5,350112102000
350112102209,赤屿村,5,350112102000
350112102210,塘屿村,5,350112102000
350112102211,岭头村,5,350112102000
350112102212,屿后村,5,350112102000
350112102213,黄李村,5,350112102000
350112103000,玉田镇,4,350112000000
350112103201,玉田村,5,350112103000
350112103202,桃源村,5,350112103000
350112103203,西埔村,5,350112103000
350112103204,西社村,5,350112103000
350112103205,长青村,5,350112103000
350112103206,大溪村,5,350112103000
350112103207,阡中村,5,350112103000
350112103208,琅岐村,5,350112103000
350112103209,琅峰村,5,350112103000
350112103210,坑田村,5,350112103000
